"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00177238","1995-12","45.08533","-67.1205","35.1","ROBBINSTON, ME US","90.0","0","0.0",",0","12",",0","9",",0","1",",0","26",",0","8",",0","0",",0","30",",0","17",",0","0",",0","0",",0","2","","19951214","+,,0","19951226",",,0","19951226",",,0","","","19951210",",,0","19951206",",,0","-16.7",",0,14,+","330",",,0,26,","147",",,0,26,","26.9",",,0,10,","7.2",",0,06,","1720.6","0","","","","","","","","","","","","","720.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116.6",",,,0","671",",,,0","-4.90",",0","-0.96",",,,0","-8.83",",,,0"
"USC00177238","1996-01","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","14",",0","9",",0","1",",0","25",",0","4",",0","9",",0","29",",0","17",",0","0",",0","0",",0","5","","19960105",",,0","19960103",",,0","19960103",",,0","","","19960124",",,0","19960119",",,0","-23.9",",0,05,","432",",,0,03,","188",",,0,03,","38.6",",,0,24,","11.7",",0,19,","2517.9","0","","","","","","","","","","","","","797.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116.9",",,,0","433",",,,0","-7.39",",0","-1.83",",,,0","-12.95",",,,0"
"USC00177238","1996-02","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0","1,0","18",",0","11",",0","1",",0","22",",0","7",",0","7","1,0","22","1,0","16",",0","0",",0","0",",0","8","","19960214","+,1,0","19960215",",,0","19960215",",,0","1","","19960222",",,0","19960227",",,0","-21.7","1,0,14,+","254",",,0,15,","119",",,0,15,","25.4",",,0,22,","8.3",",0,27,","3182.8","0","","","","","","","","","","","","","664.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116.7",",,,0","457",",,,0","-5.63","1,0","-1.44",",,,0","-9.81","1,,,0"
"USC00177238","1996-03","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","13",",0","8",",0","1",",0","27",",0","7",",0","2",",0","30",",0","9",",0","0",",0","0",",0","7","","19960305",",,0","19960308",",,0","19960302",",,0","1","","19960302",",,0","19960314",",,0","-18.3",",0,05,","508",",,0,08,","267",",,0,02,","26.4",",,0,02,","11.1",",0,14,","3818.6","0","","","","","","","","","","","","","635.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.2",",,,0","776",",,,0","-2.18",",0","3.12",",,,0","-7.47",",,,0"
"USC00177238","1996-04","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","14",",0","12",",0","1",",0","5",",0","5",",0","0",",0","20",",0","0",",0","0",",0","0",",0","7","","19960401",",,0","19960410",",,0","19960410",",,0","","","19960417",",,0","19960422",",,0","-5.0",",0,01,","76",",,0,10,","109",",,0,10,","33.0",",,0,17,","20.6",",0,22,","4231.1","0","","","","","","","","","","","","","412.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.6",",,,0","251",",,,0","4.58",",0","9.17",",,,0","-0.01",",,,0"
"USC00177238","1996-05","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0","1,0","15",",0","9",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0","1,0","2","1,0","0","1,0","12","","19960507",",,0","19960531","+,,0","19960513",",,0","2","","19960517",",,0","19960523",",1,0","-2.8",",0,07,","0",",,0,31,+","0",",T,0,13,","21.1",",,0,17,","22.8","1,0,23,","4505.8","0","","","","","","","","","","","","","274.7","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.5",",,,0","0",",T,,0","9.24","1,0","15.07","1,,,0","3.41",",,,0"
"USC00177238","1996-06","45.08533","-67.1205","35.1","ROBBINSTON, ME US","1.1","0","1.1",",0","12",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","16",",0","0",",0","18","","19960601",",,0","19960630","+,,0","19960630","+,,0","3","","19960603",",,0","19960615","+,,0","2.2",",0,01,","0",",,0,30,+","0",",,0,30,+","25.4",",,0,03,","27.8",",0,15,+","4625.4","0","","","","","","","","","","","","","119.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107.1",",,,0","0",",,,0","14.38",",0","20.23",",,,0","8.53",",,,0"
"USC00177238","1996-07","45.08533","-67.1205","35.1","ROBBINSTON, ME US","21.1","0","20.0",",0","18",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","20","","19960723",",,0","19960731","+,,0","19960731","+,,0","5","","19960713",",,0","19960718",",,0","8.9",",0,23,","0",",,0,31,+","0",",,0,31,+","43.9",",,0,13,","30.0",",0,18,","61.7","0","","","","","","","","","","","","","61.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155.5",",,,0","0",",,,0","16.99",",0","21.94",",,,0","12.04",",,,0"
"USC00177238","1996-08","45.08533","-67.1205","35.1","ROBBINSTON, ME US","43.4","0","22.3",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","14","","19960812",",,0","19960831","+,,0","19960831","+,,0","2","","19960801",",,0","19960807",",,0","7.2",",0,12,","0",",,0,31,+","0",",,0,31,+","5.6",",,0,01,","31.1",",0,07,","93.5","0","","","","","","","","","","","","","31.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.2",",,,0","0",",,,0","18.03",",0","24.38",",,,0","11.67",",,,0"
"USC00177238","1996-09","45.08533","-67.1205","35.1","ROBBINSTON, ME US","47.8","0","4.4",",0","14",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","9","","19960927",",,0","19960930","+,,0","19960930","+,,0","","","19960909",",,0","19960905",",,0","2.2",",0,27,","0",",,0,30,+","0",",,0,30,+","60.7",",,0,09,","29.4",",0,05,","235.3","0","","","","","","","","","","","","","141.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207.3",",,,0","0",",,,0","13.75",",0","18.29",",,,0","9.22",",,,0"
"USC00177238","1996-10","45.08533","-67.1205","35.1","ROBBINSTON, ME US","47.8","0","0.0",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","10",",0","0",",0","0",",0","0",",0","8","","19961016",",,0","19961031","+,,0","19961030","+,,0","","","19961009",",,0","19961002",",,0","-2.2",",0,16,","0",",,0,31,+","0",",T,0,30,+","28.2",",,0,09,","18.9",",0,02,","582.0","0","","","","","","","","","","","","","346.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.3",",,,0","0",",T,,0","7.15",",0","12.01",",,,0","2.28",",,,0"
"USC00177238","1996-11","45.08533","-67.1205","35.1","ROBBINSTON, ME US","47.8","0","0.0",",0","12",",0","6",",0","2",",0","7",",0","2",",0","0",",0","21",",0","7",",0","0",",0","0",",0","3","","19961130",",,0","19961127","+,,0","19961126",",,0","","","19961110",",,0","19961109",",,0","-12.8",",0,30,","76",",,0,27,+","69",",,0,26,","39.1",",,0,10,","17.8",",0,09,","1102.7","0","","","","","","","","","","","","","520.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.1",",,,0","128",",,,0","0.98",",0","4.70",",,,0","-2.75",",,,0"
"USC00177238","1996-12","45.08533","-67.1205","35.1","ROBBINSTON, ME US","47.8","0","0.0",",0","17",",0","10",",0","1",",0","4",",0","1",",0","1",",0","24",",0","4",",0","0",",0","0",",0","9","","19961231",",,0","19961227",",,0","19961227",",,0","","","19961208",",,0","19961224",",,0","-18.9",",0,31,","76",",,0,27,","58",",,0,27,","59.9",",,0,08,","12.2",",0,24,","1671.1","0","","","","","","","","","","","","","568.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187.8",",,,0","86",",,,0","0.00",",0","3.84",",,,0","-3.84",",,,0"
"USC00177238","1997-01","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","11",",0","7",",0","2",",0","18",",0","5",",0","8",",0","31",",0","20",",0","0",",0","0",",0","4","","19970119",",,0","19970131",",,0","19970128",",,0","","","19970128",",,0","19970123",",,0","-24.4",",0,19,","229",",,0,31,","203",",,0,28,","34.3",",,0,28,","10.0",",0,23,","2460.0","0","","","","","","","","","","","","","788.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138.8",",,,0","533",",,,0","-7.12",",0","-1.35",",,,0","-12.89",",,,0"
"USC00177238","1997-02","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","13",",0","6",",0","1",",0","28",",0","4",",0","4",",0","27",",0","11",",0","0",",0","0",",0","7","","19970209",",,0","19970214",",,0","19970205",",,0","","","19970205",",,0","19970219",",,0","-21.7",",0,09,","305",",,0,14,","97",",,0,05,","26.2",",,0,05,","10.0",",0,19,","3125.5","0","","","","","","","","","","","","","665.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.0",",,,0","323",",,,0","-5.44",",0","0.28",",,,0","-11.15",",,,0"
"USC00177238","1997-03","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","17",",0","11",",0","1",",0","31",",0","10",",0","1",",0","30",",0","10",",0","0",",0","0",",0","3","","19970309",",,0","19970322",",,0","19970306",",,0","","","19970306",",,0","19970328",",,0","-17.8",",0,09,","533",",,0,22,","305",",,0,06,","40.9",",,0,06,","10.6",",0,28,","3791.2","0","","","","","","","","","","","","","665.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126.7",",,,0","796",",,,0","-3.14",",0","1.98",",,,0","-8.26",",,,0"
"USC00177238","1997-04","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","8",",0","6",",0","0",",0","16",",0","2",",0","0",",0","27",",0","1",",0","0",",0","0",",0","2","","19970410",",,0","19970401",",,0","19970413",",,0","1","","19970428",",,0","19970430",",,0","-5.6",",0,10,","381",",,0,01,","89",",,0,13,","23.6",",,0,28,","16.1",",0,30,","4233.8","0","","","","","","","","","","","","","442.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.8",",,,0","163",",,,0","3.58",",0","8.96",",,,0","-1.80",",,,0"
"USC00177238","1997-05","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","17",",0","11",",0","1",",0","0",",0","0",",0","0",",0","3",",0","0",",0","4",",0","0",",0","11","","19970506",",,0","19970501",",,0","19970508","+,,0","1","","19970516",",,0","19970528",",,0","-1.1",",0,06,","0",",T,0,01,","0",",T,0,08,+","26.4",",,0,16,","24.4",",0,28,","4522.6","0","","","","","","","","","","","","","288.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111.4",",,,0","0",",T,,0","9.02",",0","14.88",",,,0","3.15",",,,0"
"USC00177238","1997-06","45.08533","-67.1205","35.1","ROBBINSTON, ME US","15.0","0","15.0",",0","12",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","2",",0","11","","19970603",",,0","19970630","+,,0","19970630","+,,0","5","","19970625",",,0","19970629",",,0","2.2",",0,03,","0",",,0,30,+","0",",,0,30,+","13.2",",,0,25,","33.3",",0,29,","4630.8","0","","","","","","","","","","","","","108.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.3",",,,0","0",",,,0","15.23",",0","22.18",",,,0","8.28",",,,0"
"USC00177238","1997-07","45.08533","-67.1205","35.1","ROBBINSTON, ME US","54.9","0","39.9",",0","7",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","7","","19970726","+,,0","19970731","+,,0","19970731","+,,0","4","","19970704",",,0","19970717",",,0","7.8",",0,26,+","0",",,0,31,+","0",",,0,31,+","25.9",",,0,04,","32.2",",0,17,","15.6","0","","","","","","","","","","","","","15.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.4",",,,0","0",",,,0","19.12",",0","26.16",",,,0","12.07",",,,0"
"USC00177238","1997-08","45.08533","-67.1205","35.1","ROBBINSTON, ME US","77.1","0","22.2",",0","13",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","1",",0","7","","19970820",",,0","19970831","+,,0","19970831","+,,0","","","19970812",",,0","19970811",",,0","7.2",",0,20,","0",",,0,31,+","0",",,0,31,+","8.6",",,0,12,","32.2",",0,11,","56.9","0","","","","","","","","","","","","","41.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3",",,,0","0",",,,0","17.72",",0","23.47",",,,0","11.96",",,,0"
